대분류,소분류,사실관계,법조항,위반여부,해설
선거기간 전,지인 모임 홍보,모임에서 유력 지지 발언,공직선거법 §58,✅,비공식·사적 모임 내 발언은 허용
선거기간 전,단체회보 활용,후보 의정보고 내용을 단체 회보에 게재,공직선거법 §90,❌,단체를 통한 선거운동은 위법
선거기간 중,명함 배부,후보자가 거리 유세 중 명함 배부,공직선거법 §67,✅,선거운동 기간 중 명함 배부는 가능
선거기간 중,투표 독려,SNS에서 투표 인증샷 캠페인 진행,"공직선거법 §58, §254",❌,물품 제공 등 유인행위는 금지
선거기간 중,공개장소 연설,공터에서 확성기 사용 유세,공직선거법 §82,✅,정해진 시간대에 한해 가능
선거기간 중,선거공보 배부,선거공보를 직접 배부,공직선거법 §66,✅,정당한 방식에 따라 배부 가능
선거기간 중,허위사실 유포,경쟁 후보에 대한 허위사실 SNS 게시,공직선거법 §250,❌,허위사실 공표는 형사처벌 대상
선거기간 중,연설회 진행,정당 연설회에서 후보자 유세,공직선거법 §81,✅,신고된 장소·시간대 내 허용
선거기간 중,댓글 조작,댓글부대 동원하여 반복 게시,공직선거법 §250,❌,여론 조작 행위는 불법
선거기간 중,사전투표 독려,후보 이름 언급하며 투표 독려 문자 발송,공직선거법 §58,❌,후보 언급 포함은 위법
선거기간 중,공직자 동행 유세,현직 구청장이 함께 거리 유세,공직선거법 §86,❌,공무원의 선거운동 참여는 금지
선거기간 중,학교 방문 유세,고등학교 앞에서 유세 진행,공직선거법 §59,❌,교육기관 근처 유세 제한
선거기간 중,단체명 선거운동,노조명으로 후보 지지 유세,공직선거법 §87,❌,단체명 사용한 선거운동은 제한
선거기간 중,SNS 영상 광고,유료 광고로 SNS에 지지 홍보,공직선거법 §93,✅,선거기간 중 유료광고는 가능
선거기간 중,정책 공약 토론회,지자체 주최 토론회 참여,공직선거법 §81,✅,선관위 승인 시 가능
선거기간 중,자동통화 발신,녹음된 음성 자동 발송,공직선거법 §82의2,✅,선거기간 중 신고 후 가능
선거기간 중,미성년자 참여,고등학생이 피켓 들고 거리 유세 참여,공직선거법 §59,❌,만 18세 미만은 선거운동 금지
공직선거법 제한,공무원 문자 발송,교장이 특정 후보 지지 문자 발송,"공직선거법 §85, §86",❌,공무원은 선거운동에 일절 관여 불가
공직선거법 제한,단체 선거운동,종교단체가 특정 후보 지지 선언,공직선거법 §87,❌,법인·단체는 선거운동 금지
공직선거법 제한,기부행위,후보자가 행사 후 식사 제공,"공직선거법 §113, §135",❌,식사·물품 제공은 기부행위로 간주
공직선거법 제한,사조직 운영,후보 지지 포럼 창립 행사 진행,공직선거법 §87,❌,사조직 설립·운영은 선거운동 간주될 수 있음
공직선거법 제한,낙선운동,시민단체가 특정 후보 낙선운동 벌임,공직선거법 §93,❌,낙선운동은 허용되지 않음
공직선거법 제한,답례 문자,낙선 후 상품권 동봉한 감사 문자 발송,공직선거법 §118,❌,금전·물품 포함한 답례는 불법
공직선거법 제한,현직 단체장 지지표명,지자체장이 특정 후보 지지 발언,공직선거법 §86,❌,지자체장의 선거 개입은 금지됨
공직선거법 제한,학교 현수막,학교 담벼락에 지지 현수막 설치,공직선거법 §90,❌,교육기관 주변 선거운동물 제한
공직선거법 제한,SNS 계정 대여,팬이 후보 명의 계정으로 글 게시,공직선거법 §82의7,❌,제3자 명의 선거운동은 금지
공직선거법 제한,장례식장 명함 배포,장례식장에서 명함 배포,공직선거법 §106,❌,엄숙한 장소에서의 선거운동 제한
공직선거법 제한,지하철 내 유세,지하철 안에서 선거운동,공직선거법 §106,❌,공공 교통수단 내부는 금지
공직선거법 제한,종교시설 설교 활용,설교 중 후보자 지지,공직선거법 §87,❌,종교활동을 이용한 선거운동 금지
공직선거법 제한,공공기관 회의실 사용,후보 캠프가 시청 회의실 사용,공직선거법 §85,❌,공공시설 이용은 선관위 승인 필요
공직선거법 제한,공무원 자원봉사,공무원이 휴일에 후보 캠프 자원봉사,공직선거법 §86,❌,공무원은 휴일에도 선거운동 불가
공직선거법 제한,후보자 동명 단체,후보와 동명 단체가 지지 성명 발표,공직선거법 §93,❌,혼동 우려 있는 행위 금지
공직선거법 제한,성명서 배포,노조가 지지 성명서 대량 배포,공직선거법 §87,❌,노조명 이용한 대외 활동 제한
공직선거법 제한,관혼상제 중 선거운동,결혼식 축사에서 특정 후보 지지,공직선거법 §106,❌,사적 행사에서의 지지표명은 제한
공직선거법 제한,교회 주보 활용,교회 주보에 후보자 칼럼 게재,공직선거법 §93,❌,종교시설 인쇄물 활용 제한
공직선거법 제한,선거사무소 외 활동,허용된 공간 외에서 인쇄물 배포,공직선거법 §60,❌,공식 장소 외 활동은 제한
공직선거법 제한,현수막 무단 부착,전봇대에 지지 현수막 무단 설치,공직선거법 §90,❌,정해진 장소 외 현수막 게시 금지
정치자금법 제한,유튜브 수익,후보자 채널의 유튜브 광고 수익을 선거비용으로 활용,정치자금법 §2,❌,광고 수익은 정치자금으로 간주되어 보고 및 제한 대상
정치자금법 제한,후원금 알선,지지자가 친구들에게 후보 후원 요청 문자 발송,정치자금법 §31,❌,후원금 모집은 후보자 또는 등록된 후원회만 가능
정치자금법 제한,법인 기부,회사 자금으로 후보 후원,정치자금법 §31,❌,법인·단체의 정치자금 기부는 금지
정치자금법 제한,펀드 차입,정치펀드를 통한 선거비용 마련,정치자금법 §45,✅,정치자금법상 요건 충족 시 합법
정치자금법 제한,회계 부정,후보자가 정치자금을 사적으로 유용,정치자금법 §38,❌,지출은 등록된 회계책임자 경유 필요
정치자금법 제한,가상화폐 후원,비트코인으로 정치후원금 수령,정치자금법 §6,❌,정해진 방법 외 수단은 허용되지 않음
정치자금법 제한,현금 기부,100만원 이상 현금으로 후원,정치자금법 §31,❌,고액 후원은 반드시 계좌이체
정치자금법 제한,기부자 정보 미기재,후원금 기부자 실명 누락,정치자금법 §33,❌,기부자 실명 및 주소 명시 의무
정치자금법 제한,기부 영수증 미발급,후원자에게 영수증 발급 누락,정치자금법 §36,❌,모든 후원은 영수증 처리 필요
정치자금법 제한,인터넷 모금,개인 블로그 통해 직접 모금,정치자금법 §6,❌,사적 계정 통한 모금은 위법
정치자금법 제한,현금 공천헌금,공천 대가로 돈을 수수,정치자금법 §45,❌,공천 헌금은 불법 정치자금
정치자금법 제한,정치자금 유용,후보 자녀 학비로 정치자금 사용,정치자금법 §38,❌,정치목적 외 지출은 불법
정치자금법 제한,회계책임자 미등록,선거사무소에 회계책임자 미등록,정치자금법 §37,❌,회계책임자 미등록은 위법
정치자금법 제한,동일인 고액기부 반복,한 사람이 반복적으로 고액 기부,정치자금법 §31,❌,기부 한도 초과는 불법
정치자금법 제한,영업장 내 모금함 설치,식당에 후원 모금함 설치,정치자금법 §31,❌,공개장소 모금은 제한
정치자금법 제한,연예인 행사비 제공,후보가 초청가수에 대가 지급,정치자금법 §31,❌,유세 지원 연예인에 대한 보상 금지
정치자금법 제한,후원회 허위 등록,가족 명의 후원회 등록,정치자금법 §9,❌,실질적 대표가 아닌 경우 허위 등록
정치자금법 제한,불특정 다수 SMS 후원 요청,불특정 다수에 문자 후원 요청,정치자금법 §31,❌,일반 유권자 직접 모금행위 제한
정치자금법 제한,해외 기부 수령,재외국민이 외화로 후원,정치자금법 §31,❌,외국인 및 해외거주자 후원 금지
정치자금법 제한,정당보조금 유용,정당 보조금으로 개인 차량 구입,정치자금법 §29,❌,보조금은 정치활동 목적 외 사용 불가
